,b_sequence,std_sequence,p_l_sequence,b_close_after,std_close_after,p_l_close_after,b_close_before,std_close_before,p_l_close_before,b_far_after,std_far_after,p_l_far_after,b_far_before,std_far_before,p_l_far_before,b_before,std_before,p_l_before,b_after,std_after,p_l_after,b_close,std_close,p_l_close,b_far,std_far,p_l_far,b_before1,std_before1,p_l_before1,b_before2,std_before2,p_l_before2,b_before1_close,std_before1_close,p_l_before1_close,b_before2_close,std_before2_close,p_l_before2_close
199680,0.6694678963061321,0.08386512845076277,0.46588581162811077,,,,,,,,,,,,,,,,0.6518494347432658,0.087431470274998,0.40894544497571467,,,,,,,,,,,,,,,,,,
221582,0.7098099389045487,0.07007289949360451,0.49210707816487587,,,,,,,0.7727225624029374,0.1290936234939252,0.430703372589565,0.6877848564785756,0.09800199608033369,0.5048061149499411,0.6850806566284201,0.0948208370631152,0.3724338047052844,0.7463361829690418,0.10133543195895157,0.23964658159940086,,,,0.7185412412535735,0.07817493538644514,0.3165091953604365,0.6461812731203053,0.12263072033697558,0.5910473477274164,0.7274713604221494,0.1491753958502175,0.4355703555726518,,,,,,
243787,0.8471819250195991,0.012197397392777087,0.0012618189110657314,0.8391379476313062,0.013202899165089937,0.0009999999999998899,0.8130493967748043,0.12648819487825702,0.18027497794415645,0.8912319214566637,0.0384885812267113,0.7826835672692518,0.8841012035244676,0.06054985020515915,0.08847342535290706,0.871838041584155,0.05457926087757519,0.34373923491490493,0.845617349181029,0.012505389323048975,0.001004130665951201,0.8388156695810178,0.013131836981308107,0.0010115143685167582,0.8891153245853995,0.032469031351387026,0.5733433737118636,0.8390188472020916,0.06857655700136331,0.7656801875976827,0.9070570060677159,0.08695424931819931,0.11361226571895021,,,,,,
305759,0.5075353805376744,0.04002449546894931,0.24138315432548046,0.45457873796874815,0.06121363010076918,0.38421457115093,,,,0.4803725685557369,0.04717791067150957,0.16919823781894544,,,,,,,0.47107490037231037,0.03720358252821677,0.07950716560477146,0.4475631726258487,0.05792508917655078,0.32439583638523517,0.5407528618656982,0.05363520866963096,0.503270744147592,,,,,,,,,,,,
508839,0.5049698348230809,0.03965847654587974,0.35188231389887514,,,,0.45457873796874815,0.06337515007510164,0.2638574967669722,,,,0.5166017239636185,0.05256837394238388,0.3136689876992007,0.4931938676958056,0.04050114345941372,0.24185549283635954,,,,0.48909757320504077,0.06789775558164106,0.4165991024259849,0.5131831534189458,0.049143347866159884,0.46118954157604053,0.5465548128293727,0.06466270190539197,0.14277741796521498,0.4493340211245013,0.0508918515111905,0.07797902769414117,,,,,,
574815,0.6795058638931334,0.012177769800074876,0.002627077723666566,0.6755900619764352,0.012749978549519684,0.0016357828270173915,,,,0.648790954612371,0.048901094217320015,0.4862475954458338,0.8306137571620898,0.06736128749068031,0.6659946225656994,0.8064527891652553,0.06448767772557283,0.5709842042462658,0.6734638844988488,0.012372576362097177,0.003967587696908362,0.6747977535744311,0.012719906570999326,0.0015323676669371225,0.7144974683646701,0.04048026409661404,0.6860967442309837,0.7543815408306097,0.08196662930591575,0.5546256317868364,0.865366786795958,0.10236773417541642,0.8880587352355436,,,,,,
776540,0.878916723680436,0.02595299602603508,0.3503106781872689,,,,0.8828975779995604,0.10771841480265315,0.44150418460026425,,,,0.8786537372722066,0.026749203069935293,0.3522234785595694,0.878916723680436,0.02595299602603508,0.3597052201744678,,,,0.8828975779995604,0.10771841480265315,0.4158051556363791,0.8786537372722066,0.026749203069935293,0.3715345066062787,0.8637234294032201,0.037271241331770864,0.17790343664979338,0.8946304728811347,0.03598902066041526,0.7871866881844631,0.8474410595302171,0.13965060366742263,0.32143208874259244,0.9214622321199245,0.1686627891152225,0.4659105593875459
801051,0.954564800359668,0.0582140355163275,0.4635383997657702,0.7872433439905869,0.08033721080113453,0.13836978414869638,,,,1.0557619198674415,0.07962144277524516,0.586828162256128,,,,,,,0.9555235210565147,0.0586083982015069,0.49840380950662266,0.7872433439905869,0.08033721080113453,0.135954346306317,1.0533035606849304,0.07873275722883447,0.5286609735110669,,,,,,,,,,,,
834428,0.8031301540913821,0.013182854533471091,0.03906100205203846,0.786498807290229,0.014894309343440559,0.03205593383505789,,,,0.7388924089607346,0.04915629935739172,0.08098307259921869,0.89888170775807,0.033961257726323454,0.7122543690752927,0.8957422395287846,0.03340228534414323,0.7780605453299745,0.7834696294015105,0.014282735875045888,0.011442475109932895,0.786645679985609,0.014844535679837154,0.02526935075878664,0.8610018499307471,0.028379390967987785,0.6531158574793848,0.8654583471770487,0.04364385998759981,0.8978586526609129,0.9282307103313502,0.05125278158230556,0.34884548825572914,,,,,,
847113,0.6714246184924353,0.036126643835136016,0.47297419867299845,,,,0.6430858026977163,0.08020714552027505,0.3237631529610884,0.7209635023154392,0.07937446202173758,0.8098978044484777,0.659491956289933,0.049983815362719064,0.5166416109904199,0.6553444860735541,0.042399642786619465,0.34729696309228136,0.711278725724857,0.06881655938742091,0.9349666019649174,0.6491765135294442,0.0688672300032303,0.37014015400840405,0.6782282519120003,0.04232965289952726,0.6697486723292044,0.7022640339469832,0.06742536556038635,0.4338057681863091,0.6143116454364875,0.053748008036041454,0.5395161061573222,0.7490244806834983,0.15579956159619915,0.44449016513697714,0.5634376859761355,0.08557290008925546,0.3135326042971938
