,b_sequence,std_sequence,p_l_sequence,b_close_after,std_close_after,p_l_close_after,b_close_before,std_close_before,p_l_close_before,b_far_after,std_far_after,p_l_far_after,b_far_before,std_far_before,p_l_far_before,b_before,std_before,p_l_before,b_after,std_after,p_l_after,b_close,std_close,p_l_close,b_far,std_far,p_l_far,b_before1,std_before1,p_l_before1,b_before2,std_before2,p_l_before2,b_before1_close,std_before1_close,p_l_before1_close,b_before2_close,std_before2_close,p_l_before2_close
199680,0.6694678963061321,0.08386512845076277,0.4721836230358312,,,,,,,,,,,,,,,,0.6518494347432658,0.087431470274998,0.4079982413167224,,,,,,,,,,,,,,,,,,
221582,0.7098099389045487,0.07007289949360451,0.5411856063812445,,,,,,,0.7881179091526024,0.12788760562812582,0.5596523638837372,0.6824125998361203,0.0979618259122874,0.48781781489481213,0.6850806566284201,0.0948208370631152,0.3650819769801692,0.7463361829690418,0.10133543195895157,0.2313549330506928,,,,0.721730197492474,0.0780896869851438,0.3999813498811139,0.6292551569768905,0.119161200528681,0.7246929016888235,0.7274713604221494,0.1491753958502175,0.4521125344657495,,,,,,
243787,0.8471819250195991,0.012197397392777087,0.00130352944542935,0.8390442032016738,0.013225210590352166,0.001002176221683534,0.9625644707296931,0.2091558048619587,0.49616260774585413,0.8898304212932648,0.0383181674640577,0.7723911946711961,0.883201507850624,0.05862580772748251,0.2131415015075265,0.871838041584155,0.05457926087757519,0.3267866607914002,0.8454247189523915,0.012501352543973046,0.0010114050169491512,0.8402833298981304,0.013221679590385272,0.0010417891284474077,0.8878073831671958,0.03205765500153629,0.5497688815357344,0.8334859998865907,0.06861907538109321,0.7380570531830787,0.912248457347341,0.08670834810172509,0.15931667526058427,,,,,,
305759,0.5075353805376744,0.04002449546894931,0.2491243624519518,0.4499221374256282,0.060988347858631636,0.20290416156061292,,,,0.48433074100812645,0.0498097975432679,0.11743067506666087,,,,,,,0.4723552198807505,0.03779718907713821,0.09465266883228626,0.4499221374256282,0.060988347858631636,0.2076310078942949,0.5391314387856145,0.0545069677552049,0.5302203375073898,,,,,,,,,,,,
508839,0.5049698348230809,0.03965847654587974,0.365006663387537,,,,0.4593048179255937,0.06988902928469884,0.4279679578388473,,,,0.5370470108645328,0.05407814088740633,0.15431871871994526,0.4931938676958056,0.04050114345941372,0.25559235125625807,,,,0.4933462744518824,0.07295100301239753,0.6692533998077945,0.5286694753434525,0.0499409914534285,0.24698516518934313,0.5531645158265008,0.06515495278628962,0.10761351952348695,0.44303957588585513,0.05018909327582684,0.06332102009746508,,,,,,
574815,0.6795058638931334,0.012177769800074876,0.0028006966866562654,0.6722680933638585,0.01275611919009496,0.0016328173000074737,,,,0.6705301305829292,0.052579210919882255,0.23611960005093746,0.8202765314365916,0.06721689920976655,0.8556104064510822,0.8064527891652553,0.06448767772557283,0.582048580074883,0.6734655106709188,0.012377642130760839,0.003888677021580614,0.672258183614626,0.012733254465554572,0.0013825585419941458,0.7251409498169301,0.042243201693284334,0.3749614612067682,0.7690690650047127,0.08662498505362155,0.6565767013896487,0.847795667656296,0.09838638201698335,0.9055100053901497,,,,,,
776540,0.878916723680436,0.02595299602603508,0.349937967770498,,,,0.8506722457060768,0.11320337484084947,0.5170704326871458,,,,0.8760884354889078,0.026432526824720498,0.3349245647406709,0.878916723680436,0.02595299602603508,0.3470417887100277,,,,0.8506722457060768,0.11320337484084947,0.517892756729238,0.8760884354889078,0.026432526824720498,0.3426579222368025,0.8723302472371139,0.037524734546385025,0.1462206401147742,0.8858113082534891,0.03573995074299174,0.7493653162969564,0.8828975779995604,0.17267296730633844,0.4204284821517317,0.8174346281222519,0.14919620259354321,0.7469263867469484
801051,0.954564800359668,0.0582140355163275,0.4637430990536972,0.8250527067313659,0.08789670014035804,0.20107847595731987,,,,1.00231895574195,0.07434264741932815,0.23138882825852292,,,,,,,0.9564936050631239,0.059008046832116384,0.5032594122438837,0.8244757805688141,0.0863004367697234,0.2011716929213515,1.00231895574195,0.07434264741932815,0.2132940392192088,,,,,,,,,,,,
834428,0.8031301540913821,0.013182854533471091,0.03835479808317035,0.7884525998280186,0.014954291445251034,0.04733681005215742,,,,0.8107195204604541,0.05148845977861707,0.2878432030305312,0.8906789189017027,0.03355404692346544,0.810858047732978,0.8957422395287846,0.03340228534414323,0.7815327228297514,0.7834667320132945,0.014287644031800805,0.013316941181147499,0.7888024240941413,0.0149396446512086,0.07704613060791496,0.8695699552734426,0.02815977409030203,0.8134493364478428,0.867904051216012,0.044175280624045084,0.8682811251183264,0.9243877592221533,0.05049485125206298,0.33665143286982174,,,,,,
847113,0.6714246184924353,0.036126643835136016,0.4675856783660349,,,,0.6449487355170208,0.08021704097939979,0.40855464631922556,0.6855827378719247,0.07221895187641329,0.4612378735779103,0.7069396112477027,0.05330523898752048,0.46494416645757447,0.6553444860735541,0.042399642786619465,0.3537834555876572,0.7075256273093772,0.06860007267856298,0.9412607794921832,0.6374427586677804,0.06963623242828497,0.39930102868616857,0.7015785403272143,0.042958054358203934,0.7939889157002878,0.7069827695323905,0.067473834615328,0.45040556409851257,0.6094415964150254,0.05354785829477433,0.6150695891956228,0.7613660526212335,0.14591230741031128,0.5338637777880821,0.5617100308606106,0.09125433115981563,0.395577545212922
