,b_sequence,std_sequence,p_l_sequence,b_close_after,std_close_after,p_l_close_after,b_close_before,std_close_before,p_l_close_before,b_far_after,std_far_after,p_l_far_after,b_far_before,std_far_before,p_l_far_before,b_before,std_before,p_l_before,b_after,std_after,p_l_after,b_close,std_close,p_l_close,b_far,std_far,p_l_far,b_before1,std_before1,p_l_before1,b_before2,std_before2,p_l_before2,b_before1_close,std_before1_close,p_l_before1_close,b_before2_close,std_before2_close,p_l_before2_close
199680,0.7457330380727137,0.08167379525517099,0.6333283187840096,,,,,,,,,,,,,,,,0.7449336495097241,0.08594297831515992,0.5730076740185226,,,,,,,,,,,,,,,,,,
221582,0.7145823270783148,0.06849970585170126,0.4637729138935761,,,,,,,,,,0.6877848564785756,0.09800199608033369,0.4633851411102266,0.6850806566284201,0.0948208370631152,0.36368766725557045,0.7511288391321209,0.09783712718869403,0.2838873201470348,,,,0.7179929242502527,0.07724024575722761,0.3410149764935989,,,,,,,,,,,,
243787,0.8502071726316608,0.011479705334719786,0.0010623406919007092,0.8438444696039051,0.012308164103985523,0.0009999999999998899,,,,0.8912319214566637,0.0384885812267113,0.7849837263861014,0.8841012035244676,0.06054985020515915,0.0879316053712976,0.871838041584155,0.05457926087757519,0.32748890771042205,0.849005307656826,0.011735687657326948,0.0009999999999998899,0.8435165897140833,0.012250518294166204,0.0009999999999998899,0.8891153245853995,0.032469031351387026,0.5830008981656664,0.8390188472020916,0.06857655700136331,0.7503847120647351,0.9070570060677159,0.08695424931819931,0.10353322403270879,,,,,,
305759,0.5211061039254153,0.03229319538771724,0.23589561886828772,0.49797468362415237,0.0511135784935212,0.5434333071604162,,,,0.5027427243745952,0.03962687769692097,0.07587299597995695,,,,,,,0.5009405823076843,0.031228192047563712,0.16705144856668397,0.4930277132532479,0.049580087352422586,0.49079137366338776,0.5379583238407859,0.04242842152400903,0.13031016166371537,,,,,,,,,,,,
508839,0.4936501691152509,0.039343443005832944,0.7824334787621993,,,,,,,,,,0.5166017239636185,0.05256837394238388,0.3074091549125734,0.4931938676958056,0.04050114345941372,0.2435457543781555,,,,,,,0.5032622464541705,0.0508859563501547,0.6891243225920176,,,,,,,,,,,,
574815,0.6877126719707821,0.010863753375657892,0.005316556132011569,0.6854341851264488,0.011268488419837403,0.0026354172089402524,,,,0.6519784371914429,0.04922611086608658,0.46596300530248524,0.8306137571620898,0.06736128749068031,0.6451463456872868,0.8064527891652553,0.06448767772557283,0.5683439552724543,0.6834148754352874,0.011005567728315187,0.006505585071868313,0.6848219291793957,0.0112483684557128,0.002331013519225653,0.7165179126062905,0.040635159259821474,0.6632849420863042,0.7543815408306097,0.08196662930591575,0.5489631241991284,0.865366786795958,0.10236773417541642,0.8855174739966126,,,,,,
776540,0.8757200517453299,0.025938953649581407,0.32660296434035063,,,,0.8828975779995604,0.10771841480265315,0.4363248896618452,,,,0.8786537372722066,0.026749203069935293,0.35412639849175404,0.878916723680436,0.02595299602603508,0.3312344771756248,,,,0.8342960300269446,0.10541804498921196,0.25292959112861585,0.8786537372722066,0.026749203069935293,0.34526232471639196,0.8637234294032201,0.037271241331770864,0.17308279449241,0.8946304728811347,0.03598902066041526,0.805999181866135,,,,,,
801051,0.7748146116973044,0.045123364640848165,0.7818787082303246,0.6352930050482876,0.06346070698055904,0.2465706691188453,,,,0.8663161508188367,0.060542792402377935,0.3513480724524479,,,,,,,0.774753915777258,0.04528121417370934,0.7724547828019186,0.6352930050482876,0.06346070698055904,0.23586971792891817,0.8658780013769057,0.06015710238201073,0.32417722531162263,,,,,,,,,,,,
834428,0.8020070426444924,0.012295641693305898,0.010416834531243894,0.7874195458834345,0.013657336053875683,0.006953503635927077,,,,0.7421959857159918,0.04879591579535295,0.07462381751426753,0.89888170775807,0.033961257726323454,0.6414349995388718,0.8957422395287846,0.03340228534414323,0.766006967129063,0.7848990059166635,0.013172178631406385,0.002720772426106397,0.7875389373264597,0.013619063232848545,0.005684045615882578,0.8612533988003757,0.02830285379262206,0.6510427776433636,0.8654583471770487,0.04364385998759981,0.8833948817100539,0.9282307103313502,0.05125278158230556,0.35441519444245095,,,,,,
847113,0.6716067512220705,0.035036278616336396,0.3834690683006816,,,,0.6430858026977163,0.08020714552027505,0.307797950360473,0.6966419608047447,0.0712542183441607,0.6103221711242497,0.659491956289933,0.049983815362719064,0.5254850392213093,0.6553444860735541,0.042399642786619465,0.33877064970599213,0.7064007767984776,0.0619757363871074,0.9243772188920991,0.6716519269375424,0.06783042812449468,0.2648699188720466,0.6715921051129866,0.04091651587635994,0.7445275161129851,0.7022640339469832,0.06742536556038635,0.4459769694442409,0.6143116454364875,0.053748008036041454,0.5034217218916354,,,,,,
