,b_sequence,std_sequence,p_l_sequence,b_close_after,std_close_after,p_l_close_after,b_close_before,std_close_before,p_l_close_before,b_far_after,std_far_after,p_l_far_after,b_far_before,std_far_before,p_l_far_before,b_before,std_before,p_l_before,b_after,std_after,p_l_after,b_close,std_close,p_l_close,b_far,std_far,p_l_far,b_before1,std_before1,p_l_before1,b_before2,std_before2,p_l_before2,b_before1_close,std_before1_close,p_l_before1_close,b_before2_close,std_before2_close,p_l_before2_close
199680,0.6694678963061321,0.08386512845076277,0.4796080720862513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221582,0.7098099389045487,0.07007289949360451,0.5286569004331401,,,,,,,,,,0.6824125998361203,0.0979618259122874,0.5116493381762609,0.6850806566284201,0.0948208370631152,0.34582134409569015,,,,,,,0.721730197492474,0.0780896869851438,0.3738928543793976,,,,,,,,,,,,
243787,0.8471819250195991,0.012197397392777087,0.001268613625537568,0.8390442032016738,0.013225210590352166,0.0009999999999998899,,,,0.8898304212932648,0.0383181674640577,0.7651432705116552,0.883201507850624,0.05862580772748251,0.21238730583789914,0.871838041584155,0.05457926087757519,0.3462569223647823,0.8454247189523915,0.012501352543973046,0.0009999999999998899,0.8402833298981304,0.013221679590385272,0.001040054184463597,0.8878073831671958,0.03205765500153629,0.5414812039814652,0.8334859998865907,0.06861907538109321,0.7355866224217934,0.912248457347341,0.08670834810172509,0.1626555323176937,,,,,,
305759,0.5075353805376744,0.04002449546894931,0.25370980866266984,,,,,,,0.48433074100812645,0.0498097975432679,0.12889406749239576,,,,,,,0.4723552198807505,0.03779718907713821,0.09541280021119515,,,,0.5391314387856145,0.0545069677552049,0.5424659262070943,,,,,,,,,,,,
508839,0.5049698348230809,0.03965847654587974,0.33703627142106624,,,,,,,,,,0.5370470108645328,0.05407814088740633,0.16356836273032185,0.4931938676958056,0.04050114345941372,0.2112588066346449,,,,,,,0.5286694753434525,0.0499409914534285,0.24268763180860417,0.5531645158265008,0.06515495278628962,0.1079525505576785,0.44303957588585513,0.05018909327582684,0.06301533662675182,,,,,,
574815,0.6795058638931334,0.012177769800074876,0.0027586363108095878,0.6722680933638585,0.01275611919009496,0.0016228050436310974,,,,0.6705301305829292,0.052579210919882255,0.2448271347195525,0.8202765314365916,0.06721689920976655,0.8647887828453308,0.8064527891652553,0.06448767772557283,0.568720120737765,0.6734655106709188,0.012377642130760839,0.004180500605671762,0.672258183614626,0.012733254465554572,0.0014281618139537205,0.7251409498169301,0.042243201693284334,0.39593348189476174,0.7690690650047127,0.08662498505362155,0.671405150274836,0.847795667656296,0.09838638201698335,0.9046667289432585,,,,,,
776540,0.878916723680436,0.02595299602603508,0.3528235475738208,,,,0.8506722457060768,0.11320337484084947,0.5060676631363973,,,,0.8760884354889078,0.026432526824720498,0.36096823433822595,0.878916723680436,0.02595299602603508,0.34244581064678975,,,,0.8506722457060768,0.11320337484084947,0.503298695289203,0.8760884354889078,0.026432526824720498,0.3501301481463858,0.8723302472371139,0.037524734546385025,0.1589020047194682,0.8858113082534891,0.03573995074299174,0.7073662871687323,,,,,,
801051,0.954564800359668,0.0582140355163275,0.448527933568163,0.8250527067313659,0.08789670014035804,0.18989677897752436,,,,1.00231895574195,0.07434264741932815,0.21438881081226985,,,,,,,0.9564936050631239,0.059008046832116384,0.521436009056201,0.8244757805688141,0.0863004367697234,0.18592802328338162,1.00231895574195,0.07434264741932815,0.2266004826831324,,,,,,,,,,,,
834428,0.8031301540913821,0.013182854533471091,0.03687487442373564,0.7884525998280186,0.014954291445251034,0.048054353601229824,,,,0.8107195204604541,0.05148845977861707,0.28049413914229787,0.8906789189017027,0.03355404692346544,0.7547608095497752,0.8957422395287846,0.03340228534414323,0.7493946119899261,0.7834667320132945,0.014287644031800805,0.012130363717391584,0.7888024240941413,0.0149396446512086,0.07330737397681793,0.8695699552734426,0.02815977409030203,0.8016771008706068,0.867904051216012,0.044175280624045084,0.9006121700976911,0.9243877592221533,0.05049485125206298,0.3558715973275433,,,,,,
847113,0.6714246184924353,0.036126643835136016,0.4455885731209577,,,,0.6449487355170208,0.08021704097939979,0.4185057215360676,0.6855827378719247,0.07221895187641329,0.448775423034833,0.7069396112477027,0.05330523898752048,0.4681601642593302,0.6553444860735541,0.042399642786619465,0.33422863290014954,0.7075256273093772,0.06860007267856298,0.9179026041865042,0.6374427586677804,0.06963623242828497,0.406568319245061,0.7015785403272143,0.042958054358203934,0.7742113902139868,0.7069827695323905,0.067473834615328,0.45533878915684206,0.6094415964150254,0.05354785829477433,0.6043258544065974,,,,,,
